סמל היישוב,שם היישוב,המעמד המוניציפלי או שם המועצה האזורית,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 ינואר עד מרץ
285,אלונים,עמק יזרעאל,1,0,0,0,3,27,6,2,0,0
1365,אליאב,לכיש,8,4,2,16,19,8,16,10,3,0
41,אליכין,מועצה מקומית,12,7,10,8,2,1,4,4,7,0
4002,אלי-עד,גולן,3,5,6,2,1,6,5,13,19,1
1248,אליפז,חבל אילות,7,0,0,0,0,0,0,0,0,0
730,אליפלט,מבואות החרמון,1,3,13,6,19,11,6,8,7,1
682,אליקים,מגידו,0,3,2,1,0,0,3,1,0,1
204,אלישיב,עמק חפר,1,2,2,0,4,0,0,0,1,0
841,אלישמע,דרום השרון,5,0,1,2,0,2,2,1,2,0
1125,אלמגור,עמק הירדן,4,0,1,1,0,1,3,8,13,0
1309,אלעד,עירייה,130,2,4,0,0,0,0,108,32,128
603,אלקוש,מעלה יוסף,0,0,0,0,0,0,0,0,1,0
772,אמונים,באר טוביה,0,2,3,1,2,1,1,3,4,0
1064,אמירים,מרום הגליל,0,1,1,0,2,0,2,7,0,0
1253,אמנון,מבואות החרמון,0,0,17,19,10,4,6,7,1,3
23,אמציה,לכיש,0,7,6,0,0,0,0,0,0,0
4012,אניעם,גולן,2,2,1,0,1,0,0,3,2,1
529,אעבלין,מועצה מקומית,71,69,86,36,6,19,29,79,70,9
4301,אפיק,גולן,3,4,9,2,3,2,4,4,5,0
176,אפיקים,עמק הירדן,2,2,9,0,0,2,19,14,3,0
313,אפק,מטה אשר,1,8,10,8,12,3,3,0,3,3
3650,אפרת,מועצה מקומית,,,,92,99,9,3,3,63,
701,ארבל,הגליל התחתון,2,2,9,12,7,14,3,13,9,2
714,ארז,שער הנגב,1,9,13,2,0,0,0,0,17,0
3570,אריאל,עירייה,184,273,201,120,22,66,294,412,139,2
1324,ארסוף,חוף השרון,3,3,2,5,3,2,2,5,3,0
71,אשבול,מרחבים,13,10,8,5,5,3,9,2,1,0
1276,אשבל,משגב,0,0,0,0,0,0,12,0,0,0
70,אשדוד,עירייה,780,"1,117",298,972,"1,382",753,"1,028","2,466","1,926",704
199,אשדות יעקב (איחוד),עמק הירדן,2,1,0,3,1,1,1,16,4,0
188,אשדות יעקב (מאוחד),עמק הירדן,11,11,6,9,11,24,4,6,3,2
1188,אשחר,משגב,20,6,3,2,3,9,14,7,1,1
1152,אשלים,רמת נגב,13,10,5,6,7,3,6,4,2,0
7100,אשקלון,עירייה,"1,111","1,805","1,963",397,"1,308","2,925","4,207","2,453","1,903",505
1256,אשרת,מטה אשר,10,2,3,2,9,7,5,1,5,1
740,אשתאול,מטה יהודה,3,2,1,1,1,1,0,1,0,1
6000,באקה אל-גרביה,עירייה,61,43,7,58,46,58,109,122,120,19
21,באר אורה,חבל אילות,21,22,17,11,8,14,14,3,4,1
1376,באר גנים,חוף אשקלון,28,26,27,56,39,28,28,8,11,2
155,באר טוביה,באר טוביה,31,24,11,5,2,0,1,2,1,2
2530,באר יעקב,עירייה,530,337,169,145,897,"1,141","1,186","1,156",625,86
1278,באר מילכה,רמת נגב,0,1,1,2,1,1,2,2,3,0
9000,באר שבע,עירייה,"1,197","2,210","1,005","1,655","2,178",544,"1,525","2,263",955,114
450,בארות יצחק,חבל מודיעין,1,0,0,10,0,0,0,0,0,0
697,בארותיים,עמק חפר,7,3,0,7,1,0,1,0,2,0
399,בארי,אשכול,42,0,0,0,12,0,0,0,90,0
559,בוסתן הגליל,מטה אשר,9,2,3,0,2,1,0,2,1,0
482,בועיינה-נוג'ידאת,מועצה מקומית,67,77,73,23,72,42,49,86,82,20
4001,בוקעאתא,מועצה מקומית,34,47,25,21,26,19,41,51,23,5
698,בורגתה,עמק חפר,1,1,1,1,3,0,0,0,0,0
2043,בחן,עמק חפר,14,6,4,6,2,1,2,0,3,0
762,בטחה,מרחבים,3,3,4,2,3,1,3,1,3,0
234,ביצרון,באר טוביה,1,0,2,0,0,0,0,2,2,1
998,ביר אל-מכסור,מועצה מקומית,66,51,70,28,11,9,47,89,84,28
1348,ביר הדאג',נווה מדבר,0,0,0,0,0,0,4,1,3,0
368,בירייה,מרום הגליל,0,2,0,0,0,0,6,4,2,1
317,בית אורן,חוף הכרמל,0,6,4,3,3,6,6,7,6,2
562,בית אלעזרי,ברנר,11,4,1,8,2,0,5,2,3,0
95,בית אלפא,הגלבוע,2,7,0,7,3,6,1,13,11,3
1076,בית ברל,דרום השרון,1,0,0,0,0,0,0,0,1,0
619,בית גוברין,יואב,0,0,0,0,0,0,0,19,1,0
571,בית גמליאל,חבל יבנה,2,3,1,2,1,0,2,2,1,0
480,בית ג'ן,מועצה מקומית,26,25,33,28,30,25,42,59,58,13
466,בית דגן,מועצה מקומית,4,0,119,2,106,9,4,3,1,3
723,בית הגדי,שדות נגב,2,5,4,1,2,0,4,15,7,2
373,בית הלוי,עמק חפר,10,1,4,2,0,0,0,0,0,0
322,בית הלל,מבואות החרמון,6,3,3,2,0,0,1,1,1,0
572,בית העמק,מטה אשר,6,3,6,1,7,6,4,6,7,1
242,בית השיטה,הגלבוע,6,2,1,3,4,13,10,4,2,0
710,בית זית,מטה יהודה,5,0,1,1,0,0,0,0,0,4
143,בית זרע,עמק הירדן,0,0,4,21,0,0,0,0,1,0
877,בית חירות,עמק חפר,4,3,2,2,1,0,3,1,2,0
2033,בית חלקיה,נחל שורק,4,0,2,8,3,3,2,1,2,0
159,בית חנן,גן רווה,22,3,1,1,0,0,0,0,1,2
800,בית חנניה,חוף הכרמל,1,1,0,0,0,0,1,0,0,1
1050,בית חשמונאי,גזר,0,0,0,0,0,0,0,0,1,0
288,בית יהושע,חוף השרון,2,0,2,2,0,0,1,4,2,0
265,בית יוסף,עמק המעיינות,2,0,2,1,2,0,1,1,6,3
200,בית ינאי,עמק חפר,3,1,2,0,1,0,3,1,2,0
326,בית יצחק-שער חפר,עמק חפר,6,6,1,3,7,4,4,0,2,1
430,בית לחם הגלילית,עמק יזרעאל,2,1,0,1,0,0,2,2,8,9
751,בית מאיר,מטה יהודה,3,0,0,0,0,1,0,2,8,0
784,בית נחמיה,חבל מודיעין,2,0,0,1,1,0,1,0,5,1
16,בית ניר,יואב,1,1,1,3,7,1,2,10,5,0
672,בית נקופה,מטה יהודה,3,1,0,1,0,0,2,1,0,0
202,בית עובד,גן רווה,1,0,0,0,0,0,0,1,1,1
301,בית עוזיאל,גזר,3,1,0,1,1,0,1,0,3,2
756,בית עזרא,באר טוביה,1,3,0,0,0,0,1,0,0,0
604,בית עריף,חבל מודיעין,1,2,0,1,0,0,0,1,1,0
598,בית קמה,בני שמעון,1,1,1,1,0,1,0,0,36,0
365,בית קשת,הגליל התחתון,6,2,9,0,2,2,1,2,2,0
1162,בית רימון,הגליל התחתון,12,0,17,6,2,5,18,27,16,1
9200,בית שאן,עירייה,35,50,78,77,103,79,20,2,28,17
2610,בית שמש,עירייה,"1,108",312,251,743,"1,202","1,558","2,800","2,663","1,919",187
248,בית שערים,עמק יזרעאל,1,4,4,0,0,1,1,1,2,0
747,בית שקמה,חוף אשקלון,4,3,9,6,1,5,3,3,5,4
252,ביתן אהרן,עמק חפר,2,6,1,0,0,0,2,0,1,0
3780,ביתר עילית,עירייה,366,66,163,6,190,55,183,11,0,179
94,בלפוריה,עמק יזרעאל,3,10,13,5,0,7,3,0,0,1
760,בן זכאי,חבל יבנה,0,1,0,3,0,2,3,0,2,0
712,בן עמי,מטה אשר,0,0,1,0,0,0,0,0,4,0
1084,בן שמן (כפר נוער),חבל מודיעין,1,2,0,1,0,0,0,0,0,0
2013,בן שמן (מושב),חבל מודיעין,0,2,0,1,0,0,0,0,2,0
6100,בני ברק,עירייה,430,580,721,458,440,482,"1,985",976,"1,179",370
1368,בני דקלים,לכיש,17,10,30,14,33,11,6,6,5,4
592,בני דרום,חבל יבנה,4,15,6,0,5,7,1,3,1,0
386,בני דרור,לב השרון,0,1,1,1,0,2,9,13,11,7
4015,בני יהודה,גולן,0,0,3,22,4,7,5,5,2,0
1363,בני נצרים,אשכול,0,3,3,11,7,4,10,4,8,0
448,בני עטרות,חבל מודיעין,1,2,0,0,0,0,0,0,0,0
1066,"בני עי""ש",מועצה מקומית,0,15,0,1,0,0,0,2,1,1
418,בני ציון,חוף השרון,2,0,0,2,0,1,2,0,3,3
588,בני ראם,נחל שורק,1,0,3,3,0,2,0,3,1,0
685,בניה,ברנר,3,0,1,1,2,0,1,2,0,0
9800,בנימינה-גבעת עדה,מועצה מקומית,66,48,50,43,44,60,45,131,107,21
1326,"בסמ""ה",מועצה מקומית,23,13,3,11,3,8,19,36,39,9
944,בסמת טבעון,מועצה מקומית,39,18,29,16,11,20,34,47,63,8
483,בענה,מועצה מקומית,6,6,14,9,3,13,9,0,0,0
389,בצרה,חוף השרון,4,1,3,5,2,2,2,5,9,3
589,בצת,מטה אשר,1,0,0,2,9,33,26,17,14,3
864,בקוע,מטה יהודה,10,3,2,4,13,8,5,5,9,1
823,בר גיורא,מטה יהודה,1,2,0,1,3,3,2,0,2,0
1191,בר יוחאי,מרום הגליל,7,1,0,0,0,3,1,1,0,0
428,ברור חיל,שער הנגב,1,13,3,15,9,9,12,5,3,0
2060,ברוש,בני שמעון,6,2,3,4,3,2,6,3,3,0
746,ברכיה,חוף אשקלון,1,1,5,4,2,1,3,2,3,0
667,ברעם,הגליל העליון,0,0,0,8,0,0,0,0,12,0
141,ברק,הגלבוע,1,2,3,0,2,0,2,11,13,2
617,ברקאי,מנשה,0,0,0,0,0,0,0,0,1,0
2038,ברקת,חבל מודיעין,1,0,0,1,0,1,0,0,1,0
1323,בת הדר,חוף אשקלון,2,2,2,1,0,1,0,0,2,0
1361,בת חן,עמק חפר,1,2,0,0,0,0,0,0,0,0
1319,בת חפר,עמק חפר,4,0,0,0,0,0,0,0,297,8
6200,בת ים,עירייה,180,630,636,598,684,562,"3,036","3,195","2,137",243
33,בת שלמה,חוף הכרמל,1,0,0,0,0,2,2,1,2,0
872,גאולי תימן,עמק חפר,1,1,1,1,0,3,1,0,1,0
379,גאולים,לב השרון,0,1,4,2,2,1,0,3,1,0
853,גאליה,גן רווה,6,0,3,0,5,1,0,5,3,0
352,גבולות,אשכול,4,0,3,3,9,5,0,10,0,0
424,גבים,שער הנגב,4,1,4,0,0,12,1,0,8,0
86,גבע,הגלבוע,0,0,0,0,8,0,0,0,0,0
683,גבע כרמל,חוף הכרמל,1,2,1,0,0,0,1,4,2,2
2014,גבעולים,שדות נגב,2,2,1,3,1,0,2,1,6,0
1344,גבעות בר,בני שמעון,34,24,15,14,10,6,4,1,2,0
1362,גבעות עדן,מטה יהודה,0,0,0,0,0,188,0,0,0,0
1293,גבעת אבני,הגליל התחתון,3,2,29,5,7,1,1,0,0,0
1288,גבעת אלה,עמק יזרעאל,9,5,5,1,1,2,2,6,1,0
147,גבעת ברנר,ברנר,1,0,0,0,0,0,4,21,3,1
870,גבעת השלושה,דרום השרון,19,13,4,2,5,3,2,3,1,0
3730,גבעת זאב,מועצה מקומית,131,152,46,222,98,11,0,93,148,13
207,"גבעת ח""ן",דרום השרון,0,1,0,0,0,0,0,2,4,0
2018,גבעת חיים (איחוד),עמק חפר,3,1,1,0,2,0,0,0,1,0
173,גבעת חיים (מאוחד),עמק חפר,0,2,1,1,19,6,1,0,2,0
4021,גבעת יואב,גולן,7,4,7,3,1,1,2,11,10,0
787,גבעת יערים,מטה יהודה,4,0,2,3,1,2,2,0,6,1
919,גבעת ישעיהו,מטה יהודה,0,4,1,3,0,0,1,1,3,0
802,"גבעת כ""ח",חבל מודיעין,3,1,1,1,0,0,0,0,0,0
360,"גבעת ניל""י",אלונה,2,0,0,1,0,1,2,1,0,0
703,גבעת עוז,מגידו,1,4,0,0,0,0,0,8,2,0
681,גבעת שמואל,עירייה,286,339,135,216,211,510,554,475,252,83
1077,גבעת שפירא,עמק חפר,0,0,2,2,0,0,0,0,0,0
793,גבעתי,באר טוביה,2,0,0,6,1,1,1,4,8,1
6300,גבעתיים,עירייה,187,242,537,"1,088",522,161,226,261,"1,088",0
342,גברעם,חוף אשקלון,0,0,42,4,0,0,1,2,1,1
133,גבת,עמק יזרעאל,0,0,4,0,4,18,11,3,0,0
35,גדות,הגליל העליון,2,3,1,0,0,0,6,13,3,2
1292,ג'דיידה-מכר,מועצה מקומית,106,69,47,65,86,93,130,91,154,24
145,גדיש,הגלבוע,0,0,1,0,0,0,1,0,2,0
442,גדעונה,הגלבוע,10,3,0,1,0,1,1,0,1,0
2550,גדרה,מועצה מקומית,43,80,47,319,375,271,483,149,64,38
485,ג'ולס,מועצה מקומית,45,41,17,18,24,25,17,25,23,12
852,גונן,הגליל העליון,0,1,5,2,3,4,2,5,7,3
755,גורן,מעלה יוסף,0,0,0,1,1,0,0,0,0,0
1219,גורנות הגליל,מעלה יוסף,0,0,0,2,11,14,2,0,0,0
457,גזית,עמק יזרעאל,15,5,5,0,11,0,0,0,0,1
370,גזר,גזר,1,1,0,0,3,4,12,0,3,1
706,גיאה,חוף אשקלון,3,2,2,5,4,0,4,4,14,2
196,גיבתון,ברנר,3,5,2,1,3,5,4,4,1,1
1043,גיזו,מטה יהודה,0,1,0,0,0,0,0,0,0,0
1204,גילון,משגב,0,0,0,7,14,7,1,0,1,0
736,גילת,מרחבים,10,7,9,11,13,2,4,1,4,1
262,גינוסר,עמק הירדן,5,2,8,254,3,0,2,2,1,2
92,גיניגר,עמק יזרעאל,2,3,1,1,0,0,1,26,12,0
863,גינתון,חבל מודיעין,2,0,0,0,0,0,0,0,0,0
1206,גיתה,מעלה יוסף,4,0,1,0,0,0,0,0,1,0
393,גלאון,יואב,11,10,1,1,1,0,0,4,1,0
627,ג'לג'וליה,מועצה מקומית,27,1,8,25,0,33,68,89,52,0
369,גלעד (אבן יצחק),מגידו,4,24,0,0,4,0,8,0,0,0
745,גמזו,חבל מודיעין,4,0,2,1,1,1,0,1,1,0
1072,גן הדרום,גדרות,5,3,0,3,3,2,1,1,0,1
225,גן השומרון,מנשה,3,1,1,0,3,2,5,8,3,2
239,גן חיים,דרום השרון,0,2,0,0,1,1,1,1,1,2
734,גן יאשיה,עמק חפר,4,2,1,0,0,1,3,0,2,2
166,גן יבנה,מועצה מקומית,44,65,54,33,54,197,981,316,69,14
1274,גן נר,הגלבוע,7,8,2,1,1,1,2,0,0,0
311,גן שורק,גן רווה,0,0,0,0,0,1,1,2,2,0
144,גן שלמה,ברנר,0,0,0,0,0,0,3,12,4,0
72,גן שמואל,מנשה,0,0,0,0,0,0,6,0,0,0
836,גנות,שדות דן,1,0,2,3,0,0,1,0,0,0
549,גנות הדר,לב השרון,3,7,3,0,0,1,2,3,1,0
1103,גני הדר,גזר,2,6,2,1,2,3,3,4,2,0
1371,גני טל,נחל שורק,3,9,3,7,3,2,3,2,2,0
862,גני יוחנן,גזר,0,0,0,2,0,1,1,1,5,0
218,גני עם,דרום השרון,1,1,1,0,1,0,0,0,2,1
229,גני תקווה,עירייה,239,279,377,332,144,285,22,21,107,2
541,ג'סר א-זרקא,מועצה מקומית,76,59,61,45,51,37,24,133,132,7
842,געש,חוף השרון,10,0,0,0,0,0,1,0,0,0
463,געתון,מטה אשר,15,7,10,1,0,1,3,13,7,0
39,גפן,מטה יהודה,1,1,2,2,0,0,0,1,0,0
1129,גרופית,חבל אילות,5,0,0,0,0,0,0,0,0,0
487,ג'ש (גוש חלב),מועצה מקומית,16,8,6,18,7,1,6,7,1,0
4022,גשור,גולן,5,1,4,0,3,1,4,9,3,1
305,גשר,עמק המעיינות,0,1,1,2,4,0,1,1,8,0
574,גשר הזיו,מטה אשר,2,2,1,1,4,3,4,2,2,0
628,ג'ת,מועצה מקומית,13,21,5,33,23,5,41,31,26,4
340,גת (קיבוץ),יואב,9,3,6,14,5,3,0,0,1,0
128,גת רימון,דרום השרון,0,1,0,0,0,0,0,0,0,2
494,דאלית אל-כרמל,מועצה מקומית,27,223,53,505,96,10,55,59,31,4
146,דבורה,הגלבוע,1,4,0,0,0,2,0,0,0,1
489,דבורייה,מועצה מקומית,82,52,45,25,28,33,10,30,101,40
849,דביר,בני שמעון,19,27,7,2,4,0,14,8,13,1
407,דברת,עמק יזרעאל,3,2,5,1,5,15,4,5,2,0
62,דגניה א',עמק הירדן,1,1,0,1,0,0,15,11,10,1
79,דגניה ב',עמק הירדן,0,0,1,0,17,0,0,1,12,0
1067,"דוב""ב",מרום הגליל,1,0,0,0,0,0,0,1,1,0
738,דור,חוף הכרמל,0,0,1,0,0,1,1,0,1,0
336,דורות,שער הנגב,19,3,2,4,4,3,0,14,5,0
475,דחי,בוסתן אל-מרג',3,0,2,1,2,7,3,7,9,2
490,דייר אל-אסד,מועצה מקומית,16,4,32,12,7,20,17,15,0,0
492,דייר חנא,מועצה מקומית,69,41,41,34,20,45,43,95,83,14
2200,דימונה,עירייה,250,303,322,472,237,465,212,316,368,302
2063,דישון,מבואות החרמון,0,0,1,1,0,0,0,0,2,0
300,דלייה,מגידו,0,25,15,5,0,1,0,1,0,0
431,דלתון,מרום הגליל,0,0,4,0,6,8,8,12,4,0
1317,דמיידה,משגב,2,1,8,2,5,3,1,2,4,1
303,דן,הגליל העליון,13,12,1,1,0,2,0,0,2,0
302,דפנה,הגליל העליון,5,0,3,0,13,9,15,14,10,0
1241,דקל,אשכול,2,0,1,2,5,3,1,2,6,1
1349,דריג'את,אל קסום,0,1,3,0,0,0,9,0,16,1
702,האון,עמק הירדן,0,0,0,0,0,0,1,0,0,0
675,הבונים,חוף הכרמל,0,0,0,0,0,1,0,14,32,10
356,הגושרים,הגליל העליון,0,0,3,35,17,25,24,16,7,0
191,הדר עם,עמק חפר,8,1,2,0,2,2,1,0,2,1
9700,הוד השרון,עירייה,607,151,814,231,309,362,392,823,230,114
1322,הודיות,הגליל התחתון,0,0,0,0,2,0,0,0,0,0
726,הודייה,חוף אשקלון,9,4,6,13,9,5,12,4,4,0
1169,הוואשלה (שבט),חסר מעמד,0,0,0,0,1,0,0,0,0,0
1186,הושעיה,עמק יזרעאל,10,33,9,5,3,2,0,2,2,0
250,הזורע,מגידו,0,0,0,0,34,0,0,0,0,0
307,הזורעים,הגליל התחתון,8,1,13,4,4,0,13,20,15,0
434,החותרים,חוף הכרמל,0,2,3,1,0,1,1,1,1,1
684,היוגב,עמק יזרעאל,4,6,3,5,11,26,12,13,7,1
1208,הילה,מעלה יוסף,1,0,0,1,0,0,0,0,0,0
,היתרי בנייה שאינם ביישובים,,16,2,5,2,5,1,84,4,5,1
377,המעפיל,עמק חפר,0,1,0,0,0,0,2,0,1,1
677,הסוללים,עמק יזרעאל,6,2,12,1,3,0,3,4,4,0
423,העוגן,עמק חפר,1,1,0,0,1,1,2,0,0,1
1261,הר עמשא,תמר,7,2,2,2,0,0,0,17,5,1
464,הראל,מטה יהודה,2,0,0,0,0,1,0,0,1,0
1249,הרדוף,עמק יזרעאל,1,0,1,1,0,10,7,4,9,2
6400,הרצלייה,עירייה,"1,270",894,679,"2,394","2,086",468,"1,220",620,511,125
1203,הררית,משגב,4,5,19,8,14,3,1,8,1,1
815,זבדיאל,שפיר,8,0,5,4,6,5,11,9,3,1
44,זוהר,לכיש,1,1,0,1,0,0,0,0,0,0
584,זיקים,חוף אשקלון,5,31,10,5,18,0,10,1,0,0
788,זיתן,שדות דן,2,2,1,0,1,1,2,0,1,1
9300,זכרון יעקב,מועצה מקומית,144,133,136,124,139,151,371,81,89,24
799,זכריה,מטה יהודה,5,1,3,0,0,3,0,2,0,0
1290,זמר,מועצה מקומית,38,41,24,19,29,15,22,34,29,11
1065,זמרת,שדות נגב,7,3,0,2,4,3,0,2,1,1
816,זנוח,מטה יהודה,2,0,0,0,1,1,0,0,1,0
2064,זרועה,שדות נגב,3,3,4,5,1,5,4,2,3,1
975,זרזיר,מועצה מקומית,13,14,31,28,20,15,36,18,19,1
818,זרחיה,שפיר,1,1,3,2,1,2,0,3,3,0
235,חבצלת השרון,עמק חפר,1,1,0,1,0,0,0,0,2,0
1110,חבר,הגלבוע,22,24,7,11,32,20,23,19,5,0
717,חגור,דרום השרון,3,1,2,5,2,1,1,0,7,1
205,חגלה,עמק חפר,2,3,4,1,2,0,2,0,2,0
618,חדיד,חבל מודיעין,5,5,0,5,0,0,4,1,1,0
4026,חד-נס,גולן,9,4,5,2,2,1,1,5,7,0
6500,חדרה,עירייה,"1,298","1,274",930,565,676,344,551,"1,053",361,280
1321,ח'ואלד,זבולון,4,3,12,5,11,1,2,12,2,0
160,חולדה,גזר,0,1,8,16,0,2,1,0,43,0
6600,חולון,עירייה,700,975,788,989,823,"1,410",682,528,521,5
1239,חולית,אשכול,0,0,0,4,13,0,0,11,0,0
253,חולתה,הגליל העליון,1,5,4,6,4,6,15,7,17,2
662,חוסן,מעלה יוסף,10,5,2,3,5,8,10,4,1,1
1332,חוסנייה,משגב,2,1,1,9,11,6,7,3,7,1
115,חופית,עמק חפר,4,3,4,1,1,1,0,0,3,0
374,חוקוק,עמק הירדן,0,8,1,1,6,5,2,9,6,0
1303,חורה,מועצה מקומית,114,119,60,30,87,114,127,131,117,24
496,חורפיש,מועצה מקומית,6,9,11,20,14,14,47,71,42,5
355,חורשים,דרום השרון,1,0,0,1,1,1,3,2,17,1
1047,חזון,מרום הגליל,0,0,0,0,0,1,11,4,4,1
219,חיבת ציון,עמק חפר,5,1,8,30,13,7,2,0,5,0
4000,חיפה,עירייה,"1,132",965,"2,458",647,402,365,756,"1,546","1,548",193
162,חירות,לב השרון,4,2,1,4,0,2,1,0,2,1
1272,חלוץ,משגב,1,0,5,10,7,4,0,1,2,0
820,חלץ,חוף אשקלון,0,0,3,11,9,9,7,13,15,2
801,"חמ""ד",שדות דן,9,7,5,0,1,0,1,1,6,0
343,חמדיה,עמק המעיינות,1,0,1,1,1,4,2,4,5,0
807,חניאל,עמק חפר,2,3,1,1,2,1,0,1,0,0
280,חניתה,מטה אשר,1,1,0,0,0,0,0,0,4,0
1257,חנתון,עמק יזרעאל,12,3,1,2,2,0,0,0,2,0
4005,חספין,גולן,11,5,4,3,2,12,15,6,12,7
363,חפץ חיים,נחל שורק,0,4,0,0,11,8,3,4,8,0
90,חפצי-בה,הגלבוע,20,3,0,4,1,1,2,2,2,0
700,חצב,באר טוביה,4,1,1,0,1,1,3,2,1,0
13,חצבה,הערבה התיכונה,6,2,0,0,6,5,11,15,10,4
2034,חצור הגלילית,מועצה מקומית,54,78,63,32,61,122,58,4,2,1
406,חצור-אשדוד,באר טוביה,0,0,0,2,0,0,44,0,0,0
397,חצרים,בני שמעון,29,1,1,1,20,0,0,52,0,0
422,חרב לאת,עמק חפר,2,7,6,1,2,0,0,0,2,0
1024,חרוצים,חוף השרון,4,1,0,4,2,1,0,1,2,1
1247,חריש,עירייה,"4,133","1,253","2,480",767,"1,711",156,326,172,1,0
1209,חרשים,משגב,3,5,2,2,1,1,1,0,2,0
6700,טבריה,עירייה,407,515,304,185,137,232,203,462,954,388
